categoryName,categoryId,subLink,maxPage,appNum
休闲创意,23,/category/23,68,2040
聊天社交,2,/category/2,67,2000
新闻资讯,11,/category/11,67,2000
金融理财,1,/category/1,67,2000
影音视听,27,/category/27,46,1368
效率办公,10,/category/10,67,2000
旅行交通,3,/category/3,67,2000
居家生活,4,/category/4,67,2000
时尚购物,9,/category/9,67,2000
学习教育,12,/category/12,67,2000
图书阅读,7,/category/7,38,1131
实用工具,5,/category/5,67,2000
游戏,15,/category/15,67,2000
模拟经营,29,/category/29,24,720
塔防迷宫,28,/category/28,4,100
飞行空战,25,/category/25,4,120
跑酷闯关,26,/category/26,8,240
赛车体育,18,/category/18,15,450
儿童益智,22,/category/22,6,180
棋牌桌游,20,/category/20,10,300
格斗快打,21,/category/21,6,170
网游RPG,19,/category/19,26,760
动作枪战,17,/category/17,26,770
战争策略,16,/category/16,13,370
娱乐消遣,13,/category/13,37,1088
体育运动,8,/category/8,31,912
摄影摄像,6,/category/6,31,903
医疗健康,14,/category/14,67,2000
